Index,Mode,Frequency,Max_Deflection,Average_Deflection
26.0,5.0,468.6,17.721,9.8079
26.0,6.0,489.27,17.729,9.292
27.0,1.0,52.7,18.057,11.119
27.0,2.0,145.32,17.303,9.3945
27.0,3.0,284.35,17.556,9.6577
27.0,4.0,322.85,28.342,12.75
27.0,5.0,469.23,17.69,10.011
27.0,6.0,489.29,17.729,11.224
28.0,1.0,52.679,18.057,10.123
28.0,2.0,145.02,17.287,9.9061
28.0,3.0,284.14,17.484,10.129
28.0,4.0,322.85,28.351,11.921
28.0,5.0,469.11,17.679,10.358
28.0,6.0,489.29,17.729,10.292
29.0,1.0,52.688,18.054,9.5513
29.0,2.0,145.02,17.294,9.3477
29.0,3.0,284.17,17.506,9.4265
29.0,4.0,322.87,28.343,11.35
29.0,5.0,469.7,17.734,10.667
29.0,6.0,489.28,17.728,9.7502
30.0,1.0,52.748,18.059,9.0657
30.0,2.0,145.16,17.294,8.4074
30.0,3.0,284.33,17.505,8.9604
30.0,4.0,322.85,28.339,10.685
30.0,5.0,469.73,17.713,9.5109
30.0,6.0,489.23,17.728,9.2608
31.0,1.0,52.691,18.059,9.3545
31.0,2.0,145.22,17.289,10.724
31.0,3.0,284.53,17.497,10.416
31.0,4.0,322.85,28.344,11.368
31.0,5.0,470.05,17.686,9.6803
31.0,6.0,489.31,17.728,9.5886
32.0,1.0,52.618,18.053,7.9354
32.0,2.0,144.86,17.302,8.8758
32.0,3.0,283.75,17.477,9.4739
32.0,4.0,322.61,28.329,9.8772
32.0,5.0,468.94,17.698,9.6146
32.0,6.0,489.24,17.728,8.2236
33.0,1.0,52.718,18.06,8.2977
33.0,2.0,145.18,17.282,9.4067
33.0,3.0,284.32,17.491,9.4495
33.0,4.0,322.82,28.343,10.165
33.0,5.0,469.54,17.688,8.488
33.0,6.0,489.25,17.727,8.5575
34.0,1.0,52.712,18.059,8.3551
34.0,2.0,145.15,17.283,9.6208
34.0,3.0,284.5,17.491,10.469
34.0,4.0,322.83,28.342,10.422
34.0,5.0,470.2,17.685,10.675
34.0,6.0,489.3,17.728,8.6466
35.0,1.0,52.644,18.048,7.8085
35.0,2.0,144.81,17.283,8.5719
35.0,3.0,283.66,17.477,9.2385
35.0,4.0,322.56,28.329,9.6789
35.0,5.0,468.88,17.647,9.8079
35.0,6.0,489.24,17.728,8.0755
36.0,1.0,52.587,18.051,7.6279
36.0,2.0,144.83,17.286,8.5385
36.0,3.0,283.69,17.485,9.2892
36.0,4.0,322.61,28.334,9.5421
36.0,5.0,468.51,17.673,9.8068
36.0,6.0,489.16,17.727,7.9255
37.0,1.0,52.705,18.051,8.8921
37.0,2.0,144.98,17.323,9.5019
37.0,3.0,283.94,17.518,9.6946
37.0,4.0,322.7,28.335,10.802
37.0,5.0,469.77,17.728,9.7362
37.0,6.0,489.25,17.729,9.1319
38.0,1.0,52.523,18.045,8.7379
38.0,2.0,144.58,17.271,8.6515
38.0,3.0,283.13,17.515,8.6113
38.0,4.0,322.49,28.334,10.355
38.0,5.0,467.53,17.687,9.3047
38.0,6.0,489.03,17.73,8.9233
39.0,1.0,52.759,18.057,9.3148
39.0,2.0,145.2,17.285,8.3921
39.0,3.0,284.65,17.499,9.5193
39.0,4.0,322.86,28.343,10.967
39.0,5.0,470.12,17.7,9.364
39.0,6.0,489.24,17.73,9.5059
40.0,1.0,52.626,18.054,9.1228
40.0,2.0,144.96,17.279,9.2876
40.0,3.0,284.01,17.495,9.4201
40.0,4.0,322.59,28.334,10.965
40.0,5.0,469.35,17.689,10.619
40.0,6.0,489.2,17.729,9.3463
41.0,1.0,52.658,18.057,8.6611
41.0,2.0,145.07,17.287,9.5695
41.0,3.0,284.08,17.508,9.9664
41.0,4.0,322.73,28.338,10.63
41.0,5.0,469.29,17.7,9.8519
41.0,6.0,489.25,17.729,8.9214
42.0,1.0,52.524,18.043,7.823
42.0,2.0,144.58,17.293,8.5393
42.0,3.0,283.06,17.482,9.0624
42.0,4.0,322.33,28.317,9.6161
42.0,5.0,467.47,17.695,9.347
42.0,6.0,489.06,17.726,8.0775
43.0,1.0,52.542,18.043,8.0084
43.0,2.0,144.64,17.28,8.4518
43.0,3.0,283.3,17.487,8.7717
43.0,4.0,322.29,28.318,9.7477
43.0,5.0,468.03,17.689,9.0749
43.0,6.0,489.07,17.727,8.2441
44.0,1.0,52.655,18.055,9.4516
44.0,2.0,144.88,17.294,10.436
44.0,3.0,283.97,17.487,9.8678
44.0,4.0,322.73,28.36,11.393
44.0,5.0,468.93,17.68,10.127
44.0,6.0,489.27,17.729,9.6678
45.0,1.0,52.662,18.057,9.5537
45.0,2.0,144.98,17.285,10.309
45.0,3.0,284.04,17.486,9.6407
45.0,4.0,322.81,28.35,11.472
45.0,5.0,468.95,17.679,10.562
45.0,6.0,489.28,17.729,9.7636
46.0,1.0,52.713,18.054,10.112
46.0,2.0,145.08,17.279,9.3204
46.0,3.0,284.37,17.521,10.532
46.0,4.0,322.79,28.344,11.869
46.0,5.0,469.7,17.702,10.143
46.0,6.0,489.29,17.731,10.279
47.0,1.0,52.742,18.052,9.389
47.0,2.0,145.13,17.295,10.197
47.0,3.0,284.55,17.52,9.7318
47.0,4.0,322.79,28.356,11.325
47.0,5.0,469.53,17.782,10.483
47.0,6.0,489.28,17.729,9.6115
48.0,1.0,52.676,18.056,8.7624
48.0,2.0,145.03,17.287,9.9692
48.0,3.0,283.91,17.506,10.539
48.0,4.0,322.74,28.342,10.801
48.0,5.0,468.99,17.679,10.352
48.0,6.0,489.28,17.729,9.0245
49.0,1.0,52.621,18.049,7.9571
49.0,2.0,144.86,17.303,9.2156
49.0,3.0,284.1,17.477,10.223
49.0,4.0,322.51,28.337,10.03
49.0,5.0,469.28,17.674,10.852
49.0,6.0,489.19,17.728,8.2629
50.0,1.0,52.557,18.045,8.2534
50.0,2.0,144.76,17.292,9.1804
50.0,3.0,283.47,17.501,9.658
50.0,4.0,322.31,28.323,10.114
50.0,5.0,467.64,17.699,9.5905
50.0,6.0,489.14,17.727,8.4977
51.0,1.0,52.643,18.06,9.7069
51.0,2.0,144.94,17.298,9.9396
51.0,3.0,283.69,17.492,9.9862
51.0,4.0,322.79,28.343,11.562
51.0,5.0,468.91,17.701,9.76
51.0,6.0,489.27,17.73,9.8998
52.0,1.0,52.697,18.052,10.322
52.0,2.0,145.08,17.292,9.5885
52.0,3.0,284.45,17.493,10.417
52.0,4.0,322.85,28.345,12.07
52.0,5.0,469.7,17.724,9.5191
52.0,6.0,489.29,17.73,10.477
53.0,1.0,52.685,18.057,10.344
53.0,2.0,145.06,17.283,10.095
53.0,3.0,284.24,17.487,8.9998
53.0,4.0,322.89,28.35,12.087
53.0,5.0,469.66,17.707,10.852
53.0,6.0,489.3,17.73,10.496
54.0,1.0,52.721,18.055,9.6375
54.0,2.0,145.32,17.284,10.438
54.0,3.0,284.55,17.524,9.9238
54.0,4.0,322.81,28.342,11.554
54.0,5.0,470.08,17.752,10.406
54.0,6.0,489.3,17.729,9.844
55.0,1.0,52.752,18.052,9.1434
55.0,2.0,145.15,17.289,9.9897
55.0,3.0,284.59,17.525,9.9868
55.0,4.0,322.78,28.353,11.115
55.0,5.0,469.54,17.788,10.593
55.0,6.0,489.29,17.729,9.3811
56.0,1.0,52.512,18.044,9.1681
56.0,2.0,144.6,17.274,9.5862
56.0,3.0,283.08,17.485,8.2905
56.0,4.0,322.31,28.331,10.881
56.0,5.0,467.76,17.659,9.6336
56.0,6.0,488.92,17.73,9.3547
57.0,1.0,52.704,18.058,10.972
57.0,2.0,145.1,17.279,8.3961
57.0,3.0,284.41,17.487,10.781
57.0,4.0,322.91,28.346,12.566
57.0,5.0,469.93,17.692,9.1914
57.0,6.0,489.29,17.734,11.077
